"Seoul National University Gwanak Campus"
"Cultural Center"
"College of Liberal Studies"
"College of Social Sciences"
"Museum of Art"
"Administration Building"
"Graduate School of International Studies"
"Gymnasium"
"College of Agriculture and Life Sciences"
"Student Center"
"KWANJEONG Library"
"Power Plant"
"POSCO Sports Center"
"College of Business Administration"
"International Vaccine Institute"
"College of Pharmacy"
